index,1. open,2. high,3. low,4. close
2018-09-13 20:28:00,111.9690,111.9710,111.9300,111.9620
2018-09-13 20:29:00,111.9620,111.9710,111.9400,111.9650
2018-09-13 20:30:00,111.9650,111.9670,111.9400,111.9580
2018-09-13 20:31:00,111.9570,111.9620,111.9200,111.9580
2018-09-13 20:32:00,111.9580,111.9620,111.9200,111.9560
2018-09-13 20:33:00,111.9590,111.9590,111.9300,111.9520
2018-09-13 20:34:00,111.9520,111.9530,111.9300,111.9520
2018-09-13 20:35:00,111.9490,111.9540,111.9430,111.9530
2018-09-13 20:36:00,111.9530,111.9540,111.9100,111.9500
2018-09-13 20:37:00,111.9500,111.9550,111.9200,111.9490
2018-09-13 20:38:00,111.9540,111.9540,111.9100,111.9520
2018-09-13 20:39:00,111.9510,111.9550,111.9100,111.9450
2018-09-13 20:40:00,111.9440,111.9500,111.9200,111.9480
2018-09-13 20:41:00,111.9480,111.9500,111.9320,111.9400
2018-09-13 20:42:00,111.9460,111.9530,111.9320,111.9490
2018-09-13 20:43:00,111.9490,111.9520,111.9300,111.9510
2018-09-13 20:44:00,111.9510,111.9530,111.9340,111.9430
2018-09-13 20:45:00,111.9430,111.9510,111.9200,111.9510
2018-09-13 20:46:00,111.9510,111.9520,111.9300,111.9460
2018-09-13 20:47:00,111.9460,111.9500,111.9200,111.9450
2018-09-13 20:48:00,111.9450,111.9460,111.9310,111.9430
2018-09-13 20:49:00,111.9430,111.9500,111.9310,111.9460
2018-09-13 20:50:00,111.9460,111.9480,111.9200,111.9410
2018-09-13 20:51:00,111.9400,111.9510,111.9200,111.9460
2018-09-13 20:52:00,111.9460,111.9520,111.9300,111.9490
2018-09-13 20:53:00,111.9490,111.9510,111.9300,111.9470
2018-09-13 20:54:00,111.9470,111.9470,111.9200,111.9390
2018-09-13 20:55:00,111.9400,111.9420,111.9000,111.9390
2018-09-13 20:56:00,111.9320,111.9360,111.8900,111.9310
2018-09-13 20:57:00,111.9310,111.9340,111.9190,111.9310
2018-09-13 20:58:00,111.9300,111.9340,111.8900,111.9200
2018-09-13 20:59:00,111.9210,111.9280,111.9000,111.9230
2018-09-13 21:00:00,111.9110,111.9230,111.8880,111.9070
2018-09-13 21:01:00,111.9070,111.9220,111.8910,111.9220
2018-09-13 21:02:00,111.9220,111.9410,111.9100,111.9370
2018-09-13 21:03:00,111.9200,111.9410,111.9000,111.9240
2018-09-13 21:04:00,111.9210,111.9300,111.8850,111.8960
2018-09-13 21:05:00,111.9000,111.9300,111.8790,111.9050
2018-09-13 21:06:00,111.9040,111.9140,111.8840,111.9070
2018-09-13 21:07:00,111.9080,111.9360,111.8900,111.9340
2018-09-13 21:08:00,111.9210,111.9400,111.8900,111.9290
2018-09-13 21:09:00,111.9270,111.9290,111.8800,111.8980
2018-09-13 21:10:00,111.8950,111.9130,111.8800,111.9040
2018-09-13 21:11:00,111.9040,111.9080,111.8950,111.9050
2018-09-13 21:12:00,111.9050,111.9100,111.8800,111.9080
2018-09-13 21:13:00,111.9070,111.9100,111.8700,111.9050
2018-09-13 21:14:00,111.9050,111.9070,111.8800,111.9060
2018-09-13 21:15:00,111.9020,111.9180,111.8800,111.9040
2018-09-13 21:16:00,111.9100,111.9170,111.9000,111.9130
2018-09-13 21:17:00,111.9130,111.9440,111.8900,111.9300
2018-09-13 21:18:00,111.9310,111.9400,111.9100,111.9200
2018-09-13 21:19:00,111.9210,111.9320,111.9080,111.9240
2018-09-13 21:20:00,111.9220,111.9330,111.9100,111.9210
2018-09-13 21:21:00,111.9220,111.9320,111.8950,111.9070
2018-09-13 21:22:00,111.8960,111.9320,111.8940,111.9300
2018-09-13 21:23:00,111.9260,111.9300,111.8900,111.9130
2018-09-13 21:24:00,111.9240,111.9320,111.9000,111.9200
2018-09-13 21:25:00,111.9170,111.9320,111.9070,111.9220
2018-09-13 21:26:00,111.9220,111.9320,111.9090,111.9230
2018-09-13 21:27:00,111.9240,111.9400,111.9090,111.9230
2018-09-13 21:28:00,111.9220,111.9340,111.9090,111.9230
2018-09-13 21:29:00,111.9240,111.9410,111.9090,111.9350
2018-09-13 21:30:00,111.9340,111.9420,111.9190,111.9350
2018-09-13 21:31:00,111.9340,111.9440,111.9100,111.9280
2018-09-13 21:32:00,111.9280,111.9420,111.9120,111.9380
2018-09-13 21:33:00,111.9380,111.9400,111.9200,111.9320
2018-09-13 21:34:00,111.9260,111.9340,111.9100,111.9190
2018-09-13 21:35:00,111.9270,111.9300,111.9100,111.9200
2018-09-13 21:36:00,111.9200,111.9270,111.8800,111.9270
2018-09-13 21:37:00,111.9100,111.9270,111.8800,111.9110
2018-09-13 21:38:00,111.8900,111.9250,111.8900,111.9200
2018-09-13 21:39:00,111.9200,111.9250,111.8800,111.9220
2018-09-13 21:40:00,111.9200,111.9240,111.8900,111.9160
2018-09-13 21:41:00,111.9160,111.9220,111.8800,111.9220
2018-09-13 21:42:00,111.9220,111.9220,111.8700,111.9030
2018-09-13 21:43:00,111.9060,111.9140,111.8800,111.9130
2018-09-13 21:44:00,111.9070,111.9140,111.8900,111.9090
2018-09-13 21:45:00,111.9100,111.9130,111.8600,111.9030
2018-09-13 21:46:00,111.9000,111.9100,111.8800,111.9050
2018-09-13 21:47:00,111.9100,111.9100,111.8800,111.9060
2018-09-13 21:48:00,111.9070,111.9130,111.8900,111.9080
2018-09-13 21:49:00,111.9080,111.9130,111.8900,111.9060
2018-09-13 21:50:00,111.9060,111.9120,111.8600,111.8960
2018-09-13 21:51:00,111.8940,111.9120,111.8700,111.9070
2018-09-13 21:52:00,111.9080,111.9260,111.8800,111.9120
2018-09-13 21:53:00,111.9100,111.9190,111.8900,111.9120
2018-09-13 21:54:00,111.9120,111.9190,111.9000,111.9120
2018-09-13 21:55:00,111.9120,111.9160,111.9040,111.9140
2018-09-13 21:56:00,111.9150,111.9210,111.8900,111.9130
2018-09-13 21:57:00,111.9130,111.9190,111.9030,111.9100
2018-09-13 21:58:00,111.9100,111.9130,111.8900,111.9120
2018-09-13 21:59:00,111.9090,111.9280,111.8900,111.9170
2018-09-13 22:00:00,111.9200,111.9220,111.8800,111.9140
2018-09-13 22:01:00,111.9120,111.9230,111.9100,111.9200
2018-09-13 22:02:00,111.9200,111.9280,111.9000,111.9210
2018-09-13 22:03:00,111.9200,111.9290,111.9080,111.9270
2018-09-13 22:04:00,111.9260,111.9410,111.9000,111.9360
2018-09-13 22:05:00,111.9350,111.9450,111.9200,111.9380
2018-09-13 22:06:00,111.9380,111.9490,111.9000,111.9440
2018-09-13 22:07:00,111.9440,111.9450,111.9200,111.9300
